,city name,temp,wind speed,country,cloudiness,humidity,longitude,latitiude,date
259,Rabo de Peixe,64.4,13.87,PT,40,93,-25.58,37.8,1578284304
260,Erzin,48.2,2.24,TR,75,81,36.2,36.95,1578284304
261,Valle de Allende,56.41,9.1,MX,91,21,-105.39,26.94,1578284304
262,Westport,37.4,4.7,US,1,55,-73.36,41.14,1578284305
263,Show Low,39.2,6.93,US,1,44,-110.03,34.25,1578284305
264,Nara,51.01,3.36,JP,40,55,135.8,34.68,1578283823
265,Wajid,75.4,12.44,SO,0,74,43.25,3.81,1578284305
266,Faanui,82.38,11.03,PF,12,72,-151.75,-16.48,1578283721
267,Kizukuri,37.0,19.46,JP,75,70,140.39,40.81,1578284305
268,Alekseyevka,30.2,4.47,RU,75,92,50.49,53.25,1578284306
269,Pergamino,63.0,3.0,AR,70,93,-60.57,-33.9,1578284306
270,Antequera,51.01,5.82,ES,40,93,-4.56,37.02,1578284306
271,Los Llanos de Aridane,62.6,9.17,ES,0,67,-17.92,28.66,1578284307
272,Lucapa,66.58,2.57,AO,100,98,20.74,-8.42,1578284307
273,Sneek,46.0,10.29,NL,90,100,5.66,53.03,1578283910
274,Maragogi,80.02,8.61,BR,100,78,-35.22,-9.01,1578284307
275,Port Augusta,73.0,1.99,AU,20,73,137.76,-32.49,1578284308
276,Izmaylovo,21.99,3.38,RU,99,93,47.24,53.72,1578284308
277,San Cristobal,58.95,4.65,HN,72,98,-86.92,14.68,1578284308
278,Sorong,90.1,5.26,ID,72,56,131.25,-0.86,1578284309
279,Paveh,30.2,3.18,IR,90,92,46.36,35.05,1578284310
280,Wufeng,43.65,5.21,CN,98,91,104.87,27.44,1578284310
281,Bonthe,75.56,4.16,SL,0,72,-12.5,7.53,1578283902
282,Sinnamary,79.3,10.45,GF,24,78,-52.96,5.38,1578283546
283,Ewa Beach,77.0,10.29,US,40,69,-158.01,21.32,1578284310
284,Margate,77.0,18.34,AU,20,49,147.26,-43.03,1578283778
285,Saint-Philippe,19.99,3.36,CA,1,66,-73.48,45.36,1578283883
286,Sao Joao da Barra,75.29,4.38,BR,100,94,-41.05,-21.64,1578284311
287,Horodnya,27.14,5.26,UA,0,83,31.6,51.89,1578284312
288,Vardo,33.01,2.71,US,90,80,-77.74,39.62,1578283816
289,Fairmont,30.2,4.76,US,1,79,-97.59,40.64,1578284312
290,Cururupu,73.89,1.14,BR,100,97,-44.87,-1.82,1578283920
291,Saldanha,34.38,0.56,PT,0,84,-6.55,41.42,1578283925
292,Port Blair,82.4,12.75,IN,40,74,92.75,11.67,1578284313
293,Nantucket,33.8,6.93,US,1,63,-70.1,41.28,1578283449
294,Linxia,18.97,3.78,CN,99,82,103.21,35.6,1578284313
295,Abu Kamal,47.41,0.94,SY,47,76,40.92,34.45,1578284313
296,Narsaq,17.6,4.7,GL,100,78,-46.05,60.91,1578283718
297,Saint Anthony,26.6,13.87,US,90,79,-111.68,43.97,1578284314
298,Patacamaya,47.12,5.5,BO,87,60,-67.92,-17.23,1578284314
299,Elko,33.8,4.7,US,90,59,-115.76,40.83,1578283913
300,Suntar,12.61,8.59,RU,100,92,117.65,62.16,1578284314
301,Byron Bay,91.4,12.75,AU,32,61,153.62,-28.65,1578284037
302,Lunino,30.99,2.8,RU,96,74,45.22,53.59,1578284315
303,Ulladulla,69.8,13.87,AU,100,77,150.48,-35.36,1578284315
304,Lompoc,62.6,8.05,US,1,35,-120.46,34.64,1578283513
305,Fochville,64.0,3.65,ZA,0,62,27.49,-26.49,1578284315
306,Yueyang,48.02,7.56,CN,100,91,113.12,29.36,1578284316
307,Fuxin,29.73,9.1,CN,100,94,121.65,42.02,1578284316
308,Khorol,28.4,6.93,UA,75,95,33.27,49.78,1578284316
309,Honningsvag,21.2,8.05,NO,100,67,25.97,70.98,1578284316
310,Port-Gentil,82.04,5.66,GA,100,76,8.78,-0.72,1578284316
311,Sal Rei,68.0,17.22,CV,97,64,-22.92,16.18,1578284317
312,Naifaru,82.31,16.22,MV,22,77,73.37,5.44,1578284317
313,Bilibino,-12.82,1.97,RU,0,68,166.44,68.06,1578284317
314,Moyale,72.03,3.83,ET,64,55,39.05,3.52,1578284318
315,Havre,32.0,14.99,US,1,51,-109.68,48.55,1578284318
316,Yerbogachen,10.89,11.39,RU,100,92,108.01,61.28,1578284318
317,Yulara,78.8,13.87,AU,91,54,130.99,-25.24,1578283878
318,Bambanglipuro,85.01,10.02,ID,31,65,110.28,-7.95,1578284319
319,Highland,64.99,5.77,US,40,35,-117.21,34.13,1578284075
320,Nemuro,24.8,14.99,JP,90,85,145.57,43.32,1578284319
321,Muisne,75.22,2.64,EC,16,86,-80.02,0.61,1578284320
322,Zenzeli,27.41,5.48,RU,14,77,47.05,45.92,1578284320
323,Sitka,35.01,6.64,US,0,52,-99.65,37.17,1578284320
324,Bitam,69.51,1.39,GA,0,89,11.49,2.08,1578284321
325,Trinidad,75.94,6.96,BO,100,93,-64.9,-14.83,1578283914
326,Souillac,36.0,4.7,FR,0,89,-0.6,45.6,1578283696
327,Kavieng,85.75,8.14,PG,29,69,150.8,-2.57,1578284322
328,Konosha,12.47,4.56,RU,0,91,40.26,60.97,1578284322
329,Lazarev,20.17,16.62,RU,98,84,141.51,52.23,1578284322
330,Russell,35.6,5.82,US,1,47,-98.86,38.9,1578283786
331,Klaksvik,48.2,20.8,FO,100,100,-6.59,62.23,1578284323
332,Mandera,81.16,14.99,ET,77,63,41.86,3.94,1578284323
333,Mercedes,73.0,30.0,UY,10,79,-58.03,-33.25,1578284193
334,Tateyama,48.0,3.36,JP,75,45,137.31,36.66,1578284324
335,Colquechaca,52.88,3.29,BO,0,66,-66.0,-18.7,1578284324
336,Khilok,4.64,2.55,RU,73,93,110.46,51.36,1578284324
337,Santa Cruz,74.23,5.79,BR,96,84,-36.02,-6.22,1578284325
338,Kinablangan,75.29,4.7,PH,100,92,126.55,7.69,1578283893
339,Vestmannaeyjar,45.79,28.48,IS,100,91,-20.27,63.44,1578283801
340,Berlevag,21.2,8.05,NO,100,67,29.09,70.86,1578284325
341,Fairhope,51.01,7.92,US,1,100,-87.9,30.52,1578284325
342,Kondinskoye,14.88,8.84,RU,88,95,67.41,59.65,1578284326
343,Quatre Cocos,75.99,11.41,MU,75,100,57.76,-20.21,1578284326
344,Jiangyou,41.68,3.51,CN,94,63,104.73,31.78,1578284326
345,Mahebourg,75.99,12.75,MU,75,94,57.7,-20.41,1578283697
346,Turukhansk,23.22,12.84,RU,100,95,87.96,65.8,1578283746
347,Portland,24.01,10.78,US,1,62,-70.25,43.66,1578284165
348,Portobelo,78.01,3.36,PA,39,83,-79.65,9.55,1578284327
349,Liusha,63.18,4.23,CN,81,78,108.59,27.21,1578284327
